complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
"College events are good but management is terrible. Events scheduled during class hours without coordination with academic calendar. Events run 2-3 hours over announced time. Students who need to catch specific buses are stuck. Announcements made last minute. Budget seems high but execution is poor. Meanwhile genuine student concerns about facilities, food, wifi go unaddressed for months. Administration priorities seem reversed. Please fix the basics first before spending on elaborate events.",Other,High,More than a month,5 to 20,synthetic,,,
Sweeping is done daily but with same dirty broom - it just moves dust around. Use proper mop with disinfectant.,Cleanliness,Medium,From Last Month,20+,synthetic,,,
A senior student was verbally aggressive with juniors in parking lot. Threatened them. This is ragging - take it seriously.,Ragging,Medium,More than a month,20+,synthetic,,,
"The washrooms in this college are in terrible condition. All toilet stalls in girls washroom of D block have broken flush handles - you have to manually pour water or leave it. Floor is perpetually wet creating a slipping hazard. There are no soap dispensers. Cleaning is done only once in the morning, after which condition deteriorates rapidly. By afternoon it is genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule.",Infrastructure,High,More than a month,20+,synthetic,,,
ID card pe sir ne bully kiya,Ragging,High,From Last Month,Only me,synthetic,,,
"I have been trying to get my admission documents verified for the past 6 weeks. Every time I go to the admin office, I am told to come back tomorrow. I have gone 9 times. Different staff members give different information. Nobody knows who is responsible for what. I have emailed three times and received no reply. I need these documents verified urgently for a scholarship application deadline. This level of administrative inefficiency is unacceptable. Please assign a dedicated person for document verification and set clear timelines.",Other,High,From Last Month,20+,synthetic,,,
lab internet connection zero hai,Technical Issues,Medium,From Last Month,5 to 20,synthetic,,,
Faculty member calls on distracted students and mocks them sarcastically. 'Aap toh celebrity ho' type comments.,Ragging,Medium,Today,Only me,synthetic,,,
Senior verbally abused juniors near library. Threatened them not to use certain seats 'reserved for seniors.' Not ok.,Ragging,High,More than a month,Only me,synthetic,,,
"College canteen menu has no options for students with dietary restrictions  no gluten-free, no jain food options mentioned anywhere.",Other,Medium,From Last Month,Only me,synthetic,,,
classroom windows broken hain,Infrastructure,Medium,More than a month,20+,synthetic,,,
"Library mein AC nahi hai for months. Garmi mein padhai karna impossible. Books hai, seats hai, but AC nahi - kya fayda?",Infrastructure,Medium,Today,5 to 20,synthetic,,,
Used tissue and garbage found near water cooler area. Both staff and students need accountability.,Cleanliness,High,More than a month,Only me,synthetic,,,
server down lag raha hai,Technical Issues,High,Today,20+,synthetic,,,
Wheelchair accessibility ramps not available in older buildings. Students with mobility issues can't access floors.,Infrastructure,High,From last week,5 to 20,synthetic,,,
lab PC boot nahi ho raha,Technical Issues,High,From last week,5 to 20,synthetic,,,
sir class mein sarcasm unnecessarily karta hai,Ragging,High,More than a month,2 to 5,synthetic,,,
canteen bahut expensive hai fees ke hisaab se,Mess/Food,High,From last week,20+,synthetic,,,
food mein oil bahut zyada hai,Mess/Food,High,Today,20+,synthetic,,,
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies  but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Academics,Medium,More than a month,20+,synthetic,,,
"During monsoon, water enters basement labs. Equipment damaged. Waterproofing should have been done long ago.",Infrastructure,High,More than a month,20+,synthetic,,,
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for one working lock.,Infrastructure,High,From Last Month,20+,synthetic,,,
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors - these are basic things that should be maintained regularly. In one of our classrooms, two of three ceiling fans don't work. In Mumbai heat, sitting in a hot room with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Infrastructure,High,From Last Month,20+,synthetic,,,
software license expired hai lab mein,Technical Issues,High,From last week,5 to 20,synthetic,,,
no mental health support in college,Other,High,More than a month,Only me,synthetic,,,
software license expired hai lab mein,Technical Issues,High,From Last Month,5 to 20,synthetic,,,
Hostel corridor cleaning happens only on weekends. By Wednesday the corridor is uncomfortably dirty.,Cleanliness,High,Today,20+,synthetic,,,
ceiling se pani tapak raha hai,Infrastructure,Low,From last week,20+,synthetic,,,
lab floors dirty hai,Cleanliness,High,More than a month,5 to 20,synthetic,,,
Sir ne ek student ka assignment baar baar reject kiya bina proper reason ke aur publicly embarrass kiya. This appears to be targeted harassment. The student is one of the quiet ones who doesn't fight back. This professor seems to pick on certain students while favoring others. Multiple students have noticed this pattern. This is not fair evaluation - this is bullying by a person in authority. The student is now too scared to even submit assignments. Please address this immediately.,Ragging,High,More than a month,Only me,synthetic,,,
"Library mein padhai karna ek torture ban gaya hai. Books hai, quiet environment hai, seats hai - sab kuch hai but AC nahi. Mumbai ki garmi mein bina AC ke ek ghante se zyada baithna possible hi nahi. Maine khud dekha hai students paseene mein bheege hue padh rahe hai. It has been months and nothing done. This is a basic facility. Please fix the AC in the library on priority. Padhai ke liye environment hi nahi hai.",Infrastructure,High,From Last Month,20+,synthetic,,,
There is no bus facility for students from far areas. We spend 4-5 hours daily in travel.,Other,High,More than a month,5 to 20,synthetic,,,
notice properly nahi milti,Other,High,From last week,20+,synthetic,,,
"After monsoon, stagnant water in corners of campus. Breeding ground for mosquitoes and insects.",Cleanliness,High,More than a month,20+,synthetic,,,
Student ID cards take 2+ months for new students. Many facilities require ID - students stuck without it.,Other,Low,More than a month,5 to 20,synthetic,,,
Attendance 75% mandatory hai but professor khud kabhi kabhi nahi aata. Double standard clearly.,Academics,Medium,From Last Month,20+,synthetic,,,
"Yaar ITI students get better practical training than us sometimes. Hum engineering kar rahe hai but kabhi kuch banana nahi sikha. Sab theoretical hai. Physics, maths, theory, theory, theory. Kab industry-ready honge? Companies mein jaate hai interview ke liye toh pata chalta hai kitna gap hai. College ki responsibility hai ki hume ready kare  aur yeh college fail ho rahi hai is maamle mein completely.",Academics,Low,More than a month,20+,synthetic,,,
paneer watery hai roz,Mess/Food,High,More than a month,20+,synthetic,,,
College fee payment portal crashes near deadline. Late fee charged even when failure was portal's. Unfair.,Other,High,From last week,5 to 20,synthetic,,,
Sir ne ek student ko class se bahar kar diya publicly for no valid reason. It was humiliating and the student was visibly upset. This is not acceptable.,Ragging,High,More than a month,Only me,synthetic,,,
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,High,From last week,2 to 5,synthetic,,,
ID card pe sir ne bully kiya,Ragging,High,From last week,20+,synthetic,,,
"Main OHU student hoon aur college food pe depend karta hoon. Situation yeh hai ki har din khana khaate time mujhe lagta hai yeh waste of money hai. Chapati itni thin hai ki fold karte time toot jaati hai. Dal mein sirf water hai, koi dal nahi. Paneer ki gravy oily aur watery dono simultaneously. 60 rupaye per meal charge kar rahe hai aur yeh de rahe hai? Mere ghar pe 20 rupaye mein better food banta hai. OHU students ki koi sunta hi nahi because 'you chose to stay, you deal with it.' Please improve food quality or reduce price.",Mess/Food,Medium,More than a month,2 to 5,synthetic,,,
AC classroom mein kaam nahi kar raha,Technical Issues,Medium,More than a month,20+,synthetic,,,
"The anti-ragging policy of this college seems to exist only on paper. Multiple incidents have occurred this semester. Seniors intimidating juniors in hostels. Professors publicly humiliating students. Faculty using attendance as a threat weapon. When complaints are made, they are dismissed or the complainant faces retaliation. This creates a culture of fear where no one speaks up. Please establish a genuinely independent and anonymous complaint mechanism, and take visible action when complaints are received.",Ragging,Medium,Today,5 to 20,synthetic,,,
lab internet connection zero hai,Technical Issues,Medium,From Last Month,20+,synthetic,,,
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,Low,From last week,5 to 20,synthetic,,,
"Food counter pe staff properly covered nahi rehte. Hair, hands, no gloves. Basic food hygiene standards follow nahi hoti.",Mess/Food,Low,From last week,20+,synthetic,,,
no soap dispenser in washroom,Infrastructure,Low,More than a month,20+,synthetic,,,
AC classroom mein kaam nahi kar raha,Technical Issues,Medium,From last week,20+,synthetic,,,
sir class mein sarcasm unnecessarily karta hai,Ragging,High,More than a month,2 to 5,synthetic,,,
lab sessions properly conduct nahi ho rahe,Academics,High,More than a month,20+,synthetic,,,
No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors.,Other,Medium,More than a month,5 to 20,synthetic,,,
"The condition of girls washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either wait for the one working stall or ask someone to hold the door from outside - embarrassing and time-consuming. During break, there's a huge queue for just one functional washroom. No proper liquid soap dispenser - just a random sprite bottle with a hole. This is basic hygiene necessity. Please repair locks and install proper dispensers urgently.",Infrastructure,High,Today,5 to 20,synthetic,,,
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
Sir ne attendance ke naam pe threatening language use ki. Said he will fail us if we don't comply. Mental harassment.,Ragging,High,From last week,Only me,synthetic,,,
sir ne gaali di class mein,Ragging,Medium,More than a month,2 to 5,synthetic,,,
Water dispenser near canteen has not been cleaned in months. Taste is off. Please service it.,Mess/Food,High,More than a month,20+,synthetic,,,
Lab M312 mein half the computers kaam nahi karte. Either they don't boot or the login fails. How are we supposed to complete practicals?,Technical Issues,Medium,From Last Month,Only me,synthetic,,,
I want to formally report about the iMac lab. The college advertises this lab proudly but students have zero access. It's always locked. Hardware sitting there collecting dust while students use personal laptops for everything. Why was this set up if students can't use it? Let us use it during free periods at least. Give access to CS and IT students. Such expensive equipment going to waste is both frustrating and wasteful of college resources.,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
syllabus complete nahi hua,Academics,High,More than a month,20+,synthetic,,,
"Yaar monday test bohot frustrating hai. Sunday ko rest nahi milta, sirf test ki prep karo. Kab self study karenge?",Academics,Medium,More than a month,20+,synthetic,,,
cleaning nahi hoti proper,Cleanliness,High,More than a month,20+,synthetic,,,
professor ne publicly humiliate kiya,Ragging,High,From Last Month,Only me,synthetic,,,
Sanitizer dispensers installed but never refilled. Decoration piece ban gaye hai.,Cleanliness,High,From last week,2 to 5,synthetic,,,
"Placements ke liye koi preparation nahi di jaati. Students khud se seekhte hai, college ka koi role nahi.",Academics,High,More than a month,5 to 20,synthetic,,,
dustbins overflow ho rahe hai,Cleanliness,High,More than a month,20+,synthetic,,,
"60 rupaye mein jo milta hai woh 30 ka bhi nahi lagta. Dal watery, chapati thin, sabzi tasteless. Value for money zero.",Mess/Food,Medium,From Last Month,20+,synthetic,,,
faraway students ke liye koi support nahi,Other,Medium,More than a month,Only me,synthetic,,,
Professor ek student ka assignment baar baar reject karta hai bina proper reason ke aur publicly embarrass karta hai. Targeted harassment lag raha hai.,Ragging,High,More than a month,Only me,synthetic,,,
Re-evaluation process lena bahut difficult hai. Faculty non-cooperative hote hai.,Academics,Medium,From Last Month,5 to 20,synthetic,,,
ISA marks SGPA mein directly jaate hai aur koi second chance nahi. Ek bemar hone pe poora semester kharab.,Academics,Medium,More than a month,2 to 5,synthetic,,,
Girls washroom doors do not have a lock/the locks are damaged . ,Infrastructure,High,More than a month,5 to 20,real,,,
exam form submit nahi ho raha,Other,High,Today,2 to 5,synthetic,,,
Medical facility on campus is inadequate. No proper nurse or doctor. Only a basic first aid box available.,Other,High,More than a month,2 to 5,synthetic,,,
lab internet connection zero hai,Technical Issues,High,From Last Month,20+,synthetic,,,
"The food being served in the college mess is consistently terrible and I say this after 3 years of experience. Paneer dishes always watery. Chapati always either too thin or too hard. Dal always tasteless. Same menu rotating every week. No seasonal variety, no special items, nothing. The price has gone up but quality has only gone down. And when students complain, the response is 'you can bring food from home.' Not everyone lives nearby! OHU and hostel students are completely dependent. Please take this seriously and hire a proper nutrition-focused caterer.",Mess/Food,Medium,From Last Month,20+,synthetic,,,
"Sir ne front bench students ko bola 'back bench pe jaao, aap log kuch nahi karoge.' Demoralizing and unprofessional.",Ragging,Low,More than a month,2 to 5,synthetic,,,
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,High,More than a month,5 to 20,synthetic,,,
spam messages in college groups,Other,Medium,Today,20+,synthetic,,,
"During my MSE exams, a girl who regularly sits in front of me has long hair that often falls over my desk and covers my answer sheet. This repeatedly distracts me and makes it difficult to focus, as I am unable to see my paper clearly. Due to this ongoing issue, I have not been able to complete my exam properly or perform to the best of my ability😢😢",Academics,High,More than a month,20+,real,,,
"Rugved sir ne sirf ID card nahi hone pe loudly scolded in front of everyone, used rude language. Unprofessional.",Ragging,High,From last week,Only me,synthetic,,,
"Food covers nahi hote, flies ghoom rahi hai upar. Staff ko koi concern nahi. This is a basic hygiene issue yaar.",Mess/Food,Medium,From last week,20+,synthetic,,,
"Lab hygiene has been ignored for too long. Our computer lab tables have layers of dust. Keyboards are sticky. Mouse pads have unknown stains. We spend hours here daily breathing dusty air. Allergies and respiratory issues are common complaints in these labs. A proper cleaning schedule should be implemented - wiping down systems, mopping floors, dusting - at least twice a week. This is a basic requirement for a functioning educational facility.",Cleanliness,Medium,More than a month,20+,synthetic,,,
window broken hai class ki,Infrastructure,Medium,More than a month,Only me,synthetic,,,
Honestly monday test band honi chahiye. Weekend ka ek din study ke liye chahiye  test ki preparation ke liye nahi. Let us rest and learn at our pace.,Academics,High,From Last Month,20+,synthetic,,,
canteen bahut expensive hai,Mess/Food,High,More than a month,Only me,synthetic,,,
Backlogs ke students ko extra support nahi milti. They have to manage same workload plus backlogs.,Academics,Medium,From last week,20+,synthetic,,,
senior ne intimidate kiya,Ragging,Medium,More than a month,Only me,synthetic,,,
no cleaning staff visible during day,Cleanliness,High,From last week,20+,synthetic,,,
senior ne intimidate kiya,Ragging,High,More than a month,Only me,synthetic,,,
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,More than a month,Only me,synthetic,,,
"Canteen situation is a complete disaster during lunch time. I have documented this personally. At 1:15pm, the queue stretches from the counter to the entrance door. It takes 20-25 minutes minimum just to get food. Then all seats are taken. Students end up eating standing, or rushing back to class hungry. This is not a canteen, this is a survival game. And after all this struggle, the food quality is also substandard. Either increase canteen capacity, add more counters, introduce staggered lunch timings per class, or do something. Students cannot focus on studies when they are hungry and stressed about even getting lunch.",Mess/Food,High,From Last Month,20+,synthetic,,,
UPI nahi chalta M-block canteen mein. 2026 mein cash carry karna? Really? Please install payment system.,Mess/Food,Medium,From last week,20+,synthetic,,,
ISA marks SGPA mein directly jaate hai aur koi second chance nahi. Ek bemar hone pe poora semester kharab.,Academics,Medium,From Last Month,2 to 5,synthetic,,,
"Yaar ITI students get better practical training than us sometimes. Hum engineering kar rahe hai but kabhi kuch banana nahi sikha sahi se. Sab theoretical hai. Physics, maths, theory. Kab industry-ready honge? Companies mein jaate hai interview ke liye toh pata chalta hai kitna gap hai. College ki responsibility hai ki hume ready kare. Is college ki placement rate har saal gir rahi hai. But koi action nahi. Koi accountability nahi. Students fail hote hai, college ka kya jaata hai?",Academics,Medium,From last week,20+,synthetic,,,
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,High,From Last Month,20+,synthetic,,,
professor ne class mein humiliate kiya,Ragging,High,From Last Month,20+,synthetic,,,
"Canteen situation is a complete disaster during lunch time. I have documented this personally. At 1:15pm, the queue stretches from the counter to the entrance door. It takes 20-25 minutes minimum just to get food. Then all seats are taken. Students end up eating standing, or rushing back to class hungry. This is not a canteen, this is a survival game. And after all this struggle, the food quality is also substandard. Either increase canteen capacity, add more counters, introduce staggered lunch timings per class, or do something. Students cannot focus on studies when they are hungry and stressed about even getting lunch.",Mess/Food,Medium,More than a month,20+,synthetic,,,
canteen bahut expensive hai,Mess/Food,Medium,More than a month,2 to 5,synthetic,,,
food mein kuch mila hua tha,Mess/Food,Medium,From Last Month,20+,synthetic,,,
"Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Other,Medium,More than a month,20+,synthetic,,,
cleaning nahi hoti proper,Cleanliness,Low,More than a month,20+,synthetic,,,
Sir ne ek student ko class se bahar kar diya publicly for no valid reason. Student visibly upset. Not acceptable.,Ragging,Low,More than a month,5 to 20,synthetic,,,
Not focused on particular subjects.. focuses on random things without giving proper weightage to each and every subject. ,Academics,High,More than a month,20+,real,,,
broken benches in classroom,Infrastructure,Medium,More than a month,5 to 20,synthetic,,,
"Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Mess/Food,Medium,More than a month,20+,synthetic,,,
"Rugved sir ne sirf ID card nahi hone pe loudly scolded in front of everyone, used rude language. Unprofessional.",Ragging,High,Today,Only me,synthetic,,,
Poor quality & highly price food ,Mess/Food,High,More than a month,5 to 20,real,,,
"Mess Food is not good, only 2-3 items are worth eating 
M-Block Canteen doesn't accept UPI",Mess/Food,High,More than a month,5 to 20,real,,,
washroom bahut ganda hai,Cleanliness,Medium,From Last Month,20+,synthetic,,,
lab internet connection zero hai,Technical Issues,Medium,From Last Month,2 to 5,synthetic,,,
"Food covers nahi hote, flies ghoom rahi hai upar. Staff ko koi concern nahi. This is a basic hygiene issue yaar.",Mess/Food,Medium,More than a month,20+,synthetic,,,
"Lab hygiene has been ignored for too long. Our computer lab tables have layers of dust. Keyboards are sticky. Mouse pads have unknown stains. We spend hours here daily breathing dusty air. Allergies and respiratory issues are common complaints in these labs. A proper cleaning schedule should be implemented - wiping down systems, mopping floors, dusting - at least twice a week. This is a basic requirement for a functioning educational facility.",Cleanliness,Medium,More than a month,20+,synthetic,,,
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,More than a month,2 to 5,synthetic,,,
college wifi range weak hai,Technical Issues,Low,More than a month,5 to 20,synthetic,,,
ceiling se pani tapak raha hai,Infrastructure,High,From Last Month,Only me,synthetic,,,
lab floors dirty hai,Cleanliness,Medium,More than a month,20+,synthetic,,,
email ka reply nahi mil raha,Other,High,More than a month,2 to 5,synthetic,,,
"I've been drinking from the water dispenser in A block for months and recently realized the taste has been off for a while  slightly metallic and stale. I think the dispenser hasn't been cleaned or serviced in a long time. We don't have any other water source during college hours. If the water quality is bad, students could get sick. Please get the water tested from a lab and service all dispensers on campus at least once a month. This is a basic health necessity.",Other,High,From Last Month,2 to 5,synthetic,,,
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai - verbally to HOD or in register - and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none. Students give up after first complaint because they know nothing will happen.,Other,High,From Last Month,2 to 5,synthetic,,,
"Faculty member calls on students who seem distracted and mocks them sarcastically. 'Aap toh celebrity ho, hum wait karein aapke liye?' This is demeaning.",Ragging,High,More than a month,Only me,synthetic,,,
Software required for curriculum not installed on lab computers. First 30 minutes of every practical goes into installing.,Technical Issues,High,From Last Month,20+,synthetic,,,
food thanda serve hota hai,Mess/Food,High,From Last Month,20+,synthetic,,,
garbage near canteen area,Cleanliness,Medium,More than a month,5 to 20,synthetic,,,
college mein transport nahi hai,Other,High,From Last Month,2 to 5,synthetic,,,
"Yaar monday ko test hota hai toh sunday ko self study nahi ho pata. Ek din bhi rest nahi milta. Please isko band karo, students ko breathe karne do.",Academics,High,More than a month,20+,synthetic,,,
documents verify nahi hue abhi tak,Other,High,More than a month,Only me,synthetic,,,
College mein cleaning ki responsibility sirf cleaning staff pe hai  but no quality check by administration. Accountability system banao.,Cleanliness,Low,More than a month,5 to 20,synthetic,,,
"no feedback given on assignments, just marks",Academics,Medium,From Last Month,20+,synthetic,,,
food stale rehta hai sometimes,Mess/Food,High,From last week,20+,synthetic,,,
"Honestly baat karu toh is college ki academic system ek trap hai. Hum 9 baje aate hai, 6 baje jaate hai, beech mein 6-7 lectures, ek practicals, monday test ki prep, assignment submission. Kab breathe karein? Kab self improvement karein? Placements approach kar rahe hai aur mujhe kuch nahi aata kyunki college ne sirf rote learning sikhaya. Industry wale AWS, Docker, React maangte hai aur hum yahan Pascal aur outdated Java ke examples padh rahe hai. Please revamp the curriculum.",Academics,High,More than a month,5 to 20,synthetic,,,
Computer lab booking system is manual  we have to physically go and check availability. An online booking system would save so much time.,Technical Issues,Medium,From last week,20+,synthetic,,,
"Faculty member shouts at students who ask doubts. Because of this, students afraid to ask questions in class.",Ragging,Medium,More than a month,Only me,synthetic,,,
corridors mein kachra pada rehta hai,Cleanliness,Medium,From last week,20+,synthetic,,,
seniors abusive language use kar rahe hai,Ragging,Medium,More than a month,Only me,synthetic,,,
projector nahi chal raha lab mein,Technical Issues,High,More than a month,5 to 20,synthetic,,,
"Professor ka behavior poori class ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai poori class ke saamne. Ek baar ek student ne doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,More than a month,2 to 5,synthetic,,,
"I want to make a formal complaint about the hygiene and food quality standards in the college mess. Over the past two months, I have personally experienced stomach issues after eating from the mess at least four times. Other students have similar complaints. The food is often lukewarm or cold when served. Vegetables are overcooked or undercooked randomly. Chapatis are made in large batches early and become hard by the time they reach our plates. The serving counters have no proper covering. Flies are regularly seen near the food. This is a serious health concern and administration must conduct a surprise inspection of the mess kitchen.",Mess/Food,High,From Last Month,20+,synthetic,,,
Computer lab booking is manual - go physically to check availability. Online system chahiye.,Technical Issues,High,From Last Month,2 to 5,synthetic,,,
seniors abusive language use kar rahe hai,Ragging,High,From Last Month,Only me,synthetic,,,
Classroom floors swept but not mopped. Sticky floors and stains everywhere. Disinfectant use karo please.,Cleanliness,High,From Last Month,5 to 20,synthetic,,,
college mein kachra everywhere,Cleanliness,Low,More than a month,20+,synthetic,,,
id card nahi mila abhi tak,Other,Medium,More than a month,Only me,synthetic,,,
"attendance 75% se kam ho gayi, tension ho rahi hai",Academics,High,Today,5 to 20,synthetic,,,
College events held on weekdays during college hours. Disturbs regular lectures. Schedule on weekends.,Other,Medium,More than a month,20+,synthetic,,,
"Clg mein skills develop karne ka koi platform nahi diya gaya. No hackathons, no workshops, no industry visits. Bas books aur tests.",Academics,High,More than a month,5 to 20,synthetic,,,
Yaar mess ka khana kha ke stomach upset hua. Oil itna zyada ki 2 din buri halat rahi. Health ko affect kar raha hai.,Mess/Food,Medium,More than a month,2 to 5,synthetic,,,
food mein oil bahut zyada hai,Mess/Food,High,More than a month,2 to 5,synthetic,,,
Lights in the corridor of C block are not working since last month. Evenings mein corridor dark ho jata hai  safety concern hai.,Infrastructure,Medium,From Last Month,20+,synthetic,,,
dustbins overflow ho rahe hai,Cleanliness,Medium,From Last Month,5 to 20,synthetic,,,
classroom ventilation bahut poor hai,Infrastructure,Medium,More than a month,20+,synthetic,,,
socket problem in labs,Infrastructure,High,More than a month,20+,synthetic,,,
internet baar baar disconnect ho raha,Technical Issues,High,Today,2 to 5,synthetic,,,
Sweeping is done daily but with same dirty broom - it just moves dust around. Use proper mop with disinfectant.,Cleanliness,Low,More than a month,5 to 20,synthetic,,,
portal login issue aa raha hai,Other,High,From Last Month,20+,synthetic,,,
"Professor ne wrong concept padhaya, jab student ne point out kiya toh attitude diya. This discourages learning.",Ragging,High,More than a month,2 to 5,synthetic,,,
MSE submission portal crashed during exam time. Many students couldn't upload on time. Who is responsible?,Technical Issues,Medium,From last week,5 to 20,synthetic,,,
Faculty member has a habit of making examples of students who perform poorly by announcing their marks publicly. This is humiliating and discouraging.,Ragging,High,From Last Month,2 to 5,synthetic,,,
window broken hai class ki,Infrastructure,Medium,From Last Month,20+,synthetic,,,
roti hard aur stiff hai,Mess/Food,High,From Last Month,20+,synthetic,,,
Serving quantity inconsistent hai. Peak hours mein less portion milta hai. Consistency maintain karo.,Mess/Food,High,More than a month,20+,synthetic,,,
Washroom tiles in boys block not scrubbed in a very long time. Stains everywhere. Deep cleaning overdue.,Infrastructure,High,More than a month,20+,synthetic,,,
library books outdated hai,Other,High,More than a month,20+,synthetic,,,
no cleaning staff visible during day,Cleanliness,High,More than a month,20+,synthetic,,,
food stale rehta hai sometimes,Mess/Food,High,More than a month,2 to 5,synthetic,,,
Unavailability of AC in library,Technical Issues,High,More than a month,Only me,real,,,
60 rupaye mein yeh milta hai?,Mess/Food,High,More than a month,20+,synthetic,,,
internship ke time pe attendance strict ho jaati hai,Academics,Medium,More than a month,20+,synthetic,,,
Canteen mein rush bohot zyada hota hai lunch time pe. 30 minute queue mein khade raho aur phir lecture miss ho jata hai. Seating bhi itni kam hai ki baithne ki jagah nahi.,Mess/Food,Low,More than a month,20+,synthetic,,,
No bicycle parking area in college. Cycle wale students leave them anywhere. Proper cycle stand dena chahiye.,Infrastructure,Medium,From Last Month,5 to 20,synthetic,,,
corridors mein kachra pada rehta hai,Cleanliness,High,From Last Month,2 to 5,synthetic,,,
College social media posts irrelevant content. Important announcements buried under event photos.,Other,Medium,More than a month,2 to 5,synthetic,,,
AC in room 301 makes a huge noise during lectures. It's very distracting. Either fix or replace the unit.,Infrastructure,High,From last week,2 to 5,synthetic,,,
Water leakage in A block classrooms has been an issue since monsoon. Nothing has been repaired. The seepage is causing wall damage now too.,Infrastructure,High,More than a month,20+,synthetic,,,
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency - not something that can wait weeks.,Infrastructure,Medium,More than a month,20+,synthetic,,,
Backlogs ke students ko extra support nahi milti. They have to manage same workload plus backlogs.,Academics,Medium,More than a month,5 to 20,synthetic,,,
canteen UPI accept nahi karta,Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
canopy leaks rain mein,Infrastructure,Medium,More than a month,Only me,synthetic,,,
grading criteria transparent nahi hai,Academics,High,More than a month,5 to 20,synthetic,,,
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,Medium,More than a month,20+,synthetic,,,
Clg mein itne assignments hai ki self study ke liye time hi nahi milta. Skills develop karne ka koi mauka nahi dete.,Academics,High,More than a month,5 to 20,synthetic,,,
The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Cleanliness,Medium,From Last Month,20+,synthetic,,,
"College portal ka interface itna purana hai ki mobile pe open hi nahi hota properly. It's 2026, please make it mobile-responsive.",Technical Issues,Medium,From last week,2 to 5,synthetic,,,
"I am writing this complaint on behalf of many students who are concerned about the hygiene conditions in the college washrooms, particularly in blocks C and D. The washrooms are cleaned only once in the morning. By 11am they are in a deplorable condition  floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. The administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily.",Cleanliness,High,More than a month,5 to 20,synthetic,,,
